s_name,aumdate,aumtotal,classification,schemecode
Invesco India ELSS Tax Saver Fund(G),2025-06-30T00:00:00.000Z,2911.31,Equity : Tax Saving (ELSS),2270
ICICI Pru Bond Fund(G),2025-06-30T00:00:00.000Z,2867.57,Debt : Medium to Long Duration,6197
UTI MNC Fund-Reg(G),2025-06-30T00:00:00.000Z,2867.46,Equity : Thematic - MNC,3634
Kotak Dynamic Bond Fund-Reg(G),2025-06-30T00:00:00.000Z,2866.9,Debt : Dynamic Bond,5430
Bandhan Dynamic Bond Fund-Reg(G),2025-06-30T00:00:00.000Z,2861.98,Debt : Dynamic Bond,7455
Sundaram Multi Cap Fund(G),2025-06-30T00:00:00.000Z,2853.08,Equity : Multi Cap,2370
HSBC Overnight Fund-Reg(G),2025-06-30T00:00:00.000Z,2852.2,Debt : Overnight,42784
Kotak Business Cycle Fund-Reg(G),2025-06-30T00:00:00.000Z,2839.36,Equity : Thematic,46472
HDFC NIFTY Bank ETF,2025-06-30T00:00:00.000Z,2805.16,Equity : ETFs,33563
SBI Long Duration Fund-Reg(G),2025-06-30T00:00:00.000Z,2803.0,Debt : Long Duration,46864
Edelweiss Flexi Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,2801.6,Equity : Flexi Cap,31778
Mirae Asset Healthcare Fund-Reg(G),2025-06-30T00:00:00.000Z,2785.12,Equity : Sectoral - Pharma,39122
Mahindra Manulife Large & Mid Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,2765.3,Equity : Large & Mid Cap,43915
Parag Parikh Conservative Hybrid Fund-Reg(G),2025-06-30T00:00:00.000Z,2755.57,Hybrid : Debt Oriented (Conservative),45338
Quant Large Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,2753.28,Equity : Large Cap,46678
Canara Rob Focused Fund-Reg(G),2025-06-30T00:00:00.000Z,2743.48,Equity : Multi Cap,45510
Franklin India Balanced Advantage Fund-Reg(G),2025-06-30T00:00:00.000Z,2737.64,Hybrid : Dynamic Asset Allocation,46625
Aditya Birla SL Nifty Bank ETF,2025-06-30T00:00:00.000Z,2733.98,Equity : ETFs,34434
Bandhan Multi Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,2725.12,Equity : Multi Cap,45867
Baroda BNP Paribas Large Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,2719.22,Equity : Large Cap,23
Tata Large Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,2701.78,Equity : Large Cap,3281
Nippon India Innovation Fund-Reg(G),2025-06-30T00:00:00.000Z,2691.34,Equity : Thematic,48169
Sundaram Multi Asset Allocation Fund-Reg(G),2025-06-30T00:00:00.000Z,2688.25,Hybrid : Multi Asset Allocation,48460
Franklin India Liquid Fund-Super Inst(G),2025-06-30T00:00:00.000Z,2675.66,Debt : Liquid,3406
UTI Focused Fund-Reg(G),2025-06-30T00:00:00.000Z,2672.76,Equity : Flexi Cap,45685
ITI Small Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,2640.78,Equity : Small Cap,44399
Nippon India Consumption Fund(G),2025-06-30T00:00:00.000Z,2640.48,Equity : Thematic - Consumption,2644
DSP Corp Bond Fund-Reg(G),2025-06-30T00:00:00.000Z,2630.4,Debt : Corporate Bond,37709
DSP Focused Fund-Reg(G),2025-06-30T00:00:00.000Z,2627.6,Equity : Multi Cap,8463
Aditya Birla SL Medium Term Plan-Reg(G),2025-06-30T00:00:00.000Z,2626.53,Debt : Medium Duration,7683
Aditya Birla SL Quant Fund-Reg(G),2025-06-30T00:00:00.000Z,2594.44,Equity : Thematic,48491
HDFC Infrastructure Fund(G),2025-06-30T00:00:00.000Z,2591.14,Equity : Sectoral - Infrastructure,4253
Nippon India Index Fund-Nifty 50 Plan(G),2025-06-30T00:00:00.000Z,2586.67,Equity : Index Funds,12860
WOC Multi Asset Allocation Fund-Reg(G),2025-06-30T00:00:00.000Z,2585.54,Hybrid : Multi Asset Allocation,47946
SBI Nifty Next 50 ETF,2025-06-30T00:00:00.000Z,2550.36,Equity : ETFs,30248
SBI CRISIL IBX Gilt Index - June 2036 Fund-Reg(G),2025-06-30T00:00:00.000Z,2534.11,Debt : Long Duration,46941
Motilal Oswal Large Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,2533.92,Equity : Large Cap,48488
Kotak Manufacture in India Fund-Reg(G),2025-06-30T00:00:00.000Z,2510.06,Equity : Thematic,46107
Motilal Oswal Nifty Microcap 250 Index Fund-Reg(G),2025-06-30T00:00:00.000Z,2498.28,Equity : Index Funds,41176
HSBC Infrastructure Fund-Reg(G),2025-06-30T00:00:00.000Z,2474.17,Equity : Sectoral - Infrastructure,594
Nippon India Nifty Smallcap 250 Index Fund-Reg(G),2025-06-30T00:00:00.000Z,2472.06,Equity : Index Funds,44504
Motilal Oswal Nifty 500 Index Fund-Reg(G),2025-06-30T00:00:00.000Z,2467.95,Equity : Index Funds,43809
ICICI Pru Constant Maturity Gilt Fund(G),2025-06-30T00:00:00.000Z,2462.78,Debt : Gilt (10 Yr Constant Duration),30426
Motilal Oswal Nifty Midcap 150 Index Fund-Reg(G),2025-06-30T00:00:00.000Z,2459.71,Equity : Index Funds,43810
Tata India Consumer Fund-Reg(G),2025-06-30T00:00:00.000Z,2457.37,Equity : Thematic - Consumption,33728
Mirae Asset Money Market Fund-Reg(G),2025-06-30T00:00:00.000Z,2453.23,Debt : Money Market,45753
Kotak Infra & Eco Reform Fund(G),2025-06-30T00:00:00.000Z,2449.76,Equity : Sectoral - Infrastructure,4228
Nippon India ETF Nifty IT,2025-06-30T00:00:00.000Z,2447.95,Equity : ETFs,44506
Axis Business Cycles Fund-Reg(G),2025-06-30T00:00:00.000Z,2446.11,Equity : Thematic,47580
HSBC Arbitrage Fund-Reg(G),2025-06-30T00:00:00.000Z,2443.74,Hybrid : Arbitrage,29550
Franklin India Dividend Yield Fund(G),2025-06-30T00:00:00.000Z,2421.49,Equity : Thematic - Dividend Yield,3367
Nippon India ETF Nifty Midcap 150,2025-06-30T00:00:00.000Z,2413.62,Equity : ETFs,40028
Union Flexi Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,2401.11,Equity : Flexi Cap,14559
ICICI Pru Bharat 22 FOF-(G),2025-06-30T00:00:00.000Z,2399.99,FoFs : Domestic,40232
ICICI Pru Housing Opp Fund-Reg(G),2025-06-30T00:00:00.000Z,2396.38,Equity : Thematic,46546
DSP Multicap Fund-Reg(G),2025-06-30T00:00:00.000Z,2388.03,Equity : Multi Cap,48040
Sundaram Ultra Short Duration Fund(G),2025-06-30T00:00:00.000Z,2367.8,Debt : Ultra Short Duration,4186
NJ Flexi Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,2352.14,Equity : Flexi Cap,48135
BHARAT Bond ETF FOF - April 2033 -Reg(G),2025-06-30T00:00:00.000Z,2349.07,FoFs : Domestic,47284
Bandhan Balanced Advantage Fund-Reg(G),2025-06-30T00:00:00.000Z,2301.63,Hybrid : Dynamic Asset Allocation,30671
Edelweiss Nifty PSU Bond Plus SDL Apr 2027 50:50 Index Fund-Reg(G),2025-06-30T00:00:00.000Z,2299.48,Debt : Medium to Long Duration,45387
Templeton India Value Fund(G),2025-06-30T00:00:00.000Z,2298.64,Equity : Value / Contra,3379
Tata Infrastructure Fund-Reg(G),2025-06-30T00:00:00.000Z,2286.98,Equity : Sectoral - Infrastructure,3254
Kotak MNC Fund-Reg(G),2025-06-30T00:00:00.000Z,2277.83,Equity : Thematic - MNC,49046
Aditya Birla SL Income Fund(G),2025-06-30T00:00:00.000Z,2277.41,Debt : Medium to Long Duration,405
ICICI Pru Regular Gold Savings Fund(FOF)(G),2025-06-30T00:00:00.000Z,2274.43,Gold : MFs,14885
UTI Infrastructure Fund-Reg(G),2025-06-30T00:00:00.000Z,2271.83,Equity : Sectoral - Infrastructure,3582
Aditya Birla SL G-Sec Fund(G),2025-06-30T00:00:00.000Z,2256.64,Debt : Gilt,399
Franklin India Aggressive Hybrid Fund(G),2025-06-30T00:00:00.000Z,2248.32,Hybrid : Equity Oriented,999
DSP BSE Liquid Rate ETF,2025-06-30T00:00:00.000Z,2241.34,Debt : ETFs,48724
Parag Parikh Dynamic Asset Allocation Fund-Reg(G),2025-06-30T00:00:00.000Z,2238.35,Hybrid : Dynamic Asset Allocation,48512
SBI Credit Risk Fund-Reg(G),2025-06-30T00:00:00.000Z,2235.76,Debt : Credit Risk,2770
Tata Retirement Sav Fund - Mod Plan(G),2025-06-30T00:00:00.000Z,2229.84,Hybrid : Solution Oriented,15379
DSP Nifty 50 Equal Weight Index Fund-Reg(G),2025-06-30T00:00:00.000Z,2226.58,Equity : Index Funds,38179
Axis CRISIL IBX SDL May 2027 Index Fund-Reg(G),2025-06-30T00:00:00.000Z,2218.72,Debt : Medium to Long Duration,45999
Baroda BNP Paribas Mid Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,2213.06,Equity : Mid Cap,172
Bank of India Flexi Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,2208.92,Equity : Flexi Cap,44987
LIC MF Nifty 8-13 yr G-Sec ETF,2025-06-30T00:00:00.000Z,2197.56,Debt : ETFs,31581
Mahindra Manulife Focused Fund-Reg(G),2025-06-30T00:00:00.000Z,2186.31,Equity : Flexi Cap,45141
Tata Retirement Sav Fund - Prog Plan(G),2025-06-30T00:00:00.000Z,2178.32,Hybrid : Solution Oriented,15380
Quant Aggressive Hybrid Fund(G),2025-06-30T00:00:00.000Z,2170.31,Hybrid : Equity Oriented,865
HSBC Multi Asset Allocation Fund-Reg(G),2025-06-30T00:00:00.000Z,2154.15,Hybrid : Multi Asset Allocation,48468
DSP Nifty SDL Plus G-Sec Jun 2028 30:70 Index Fund-Reg(G),2025-06-30T00:00:00.000Z,2134.16,Debt : Medium to Long Duration,45863
SBI CRISIL IBX Gilt Index - Apr 2029 Fund-Reg(G),2025-06-30T00:00:00.000Z,2126.22,Debt : Medium to Long Duration,46971
Bajaj Finserv Large and Mid Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,2120.22,Equity : Large & Mid Cap,48063
Kotak Special Opportunities Fund-Reg(G),2025-06-30T00:00:00.000Z,2117.21,Equity : Thematic,48809
Sundaram Flexi Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,2107.86,Equity : Flexi Cap,46622
Kotak Bond Fund-Reg(G),2025-06-30T00:00:00.000Z,2093.73,Debt : Medium to Long Duration,1968
Mirae Asset Multi Asset Allocation Fund-Reg(G),2025-06-30T00:00:00.000Z,2091.65,Hybrid : Multi Asset Allocation,48465
Bank of India Liquid Fund-Reg(G),2025-06-30T00:00:00.000Z,2087.84,Debt : Liquid,5836
Mirae Asset Banking and Financial Services Fund-Reg(G),2025-06-30T00:00:00.000Z,2085.2,Equity : Sectoral - Financial Services,45174
WOC Multi Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,2065.13,Equity : Multi Cap,48199
Nippon India Gilt Fund(G),2025-06-30T00:00:00.000Z,2063.18,Debt : Gilt,6291
ICICI Pru PSU Equity Fund-Reg(G),2025-06-30T00:00:00.000Z,2059.06,Equity : Index Funds,46106
ICICI Pru FMCG Fund(G),2025-06-30T00:00:00.000Z,2043.65,Equity : Thematic - Consumption,1517
Edelweiss Money Market Fund-Reg(G),2025-06-30T00:00:00.000Z,2033.75,Debt : Dynamic Bond,5437
Bandhan Multi Asset Allocation Fund-Reg(G),2025-06-30T00:00:00.000Z,2019.96,Hybrid : Multi Asset Allocation,48252
HDFC NIFTY Next 50 Index Fund-Reg(G),2025-06-30T00:00:00.000Z,2008.19,Equity : Index Funds,45985
SBI Magnum Income Fund-Reg(G),2025-06-30T00:00:00.000Z,1992.51,Debt : Medium to Long Duration,2776
Quant Quantamental Fund-Reg(G),2025-06-30T00:00:00.000Z,1987.89,Equity : Thematic,45480
Mirae Asset NYSE FANG+ETF FoF-Reg(G),2025-06-30T00:00:00.000Z,1983.36,FoFs : Overseas,45496
UTI Gold ETF,2025-06-30T00:00:00.000Z,1967.98,Gold : ETFs,3564
Bandhan Nifty 50 Index Fund-Reg(G),2025-06-30T00:00:00.000Z,1967.29,Equity : Index Funds,9078
UTI-Nifty Next 50 ETF,2025-06-30T00:00:00.000Z,1966.86,Equity : ETFs,37338
Franklin India Technology Fund(G),2025-06-30T00:00:00.000Z,1949.29,Equity : Sectoral - Technology,961
Axis Nifty 100 Index Fund-Reg(G),2025-06-30T00:00:00.000Z,1948.53,Equity : Index Funds,43785
Bandhan Focused Fund-Reg(G),2025-06-30T00:00:00.000Z,1946.7,Equity : Multi Cap,2896
ICICI Pru BSE Liquid Rate ETF(IDCW),2025-06-30T00:00:00.000Z,1946.65,Debt : ETFs,35122
Aditya Birla SL Dynamic Bond Fund-Reg(G),2025-06-30T00:00:00.000Z,1945.22,Debt : Dynamic Bond,302
Axis Strategic Bond Fund-Reg(G),2025-06-30T00:00:00.000Z,1941.66,Debt : Medium Duration,8136
Edelweiss Business Cycle Fund-Reg(G),2025-06-30T00:00:00.000Z,1940.74,Equity : Thematic,48499
Motilal Oswal Business Cycle Fund-Reg(G),2025-06-30T00:00:00.000Z,1935.58,Equity : Thematic,48959
ICICI Pru Quality Fund-Reg(G),2025-06-30T00:00:00.000Z,1933.41,Equity : Thematic,49893
ICICI Pru BSE Sensex Index Fund(G),2025-06-30T00:00:00.000Z,1931.06,Equity : Index Funds,36396
Bandhan Large Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,1928.38,Equity : Large Cap,2860
Canara Rob Consumer Trends Fund-Reg(G),2025-06-30T00:00:00.000Z,1925.2,Equity : Thematic - Consumption,7876
HSBC CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Reg(G),2025-06-30T00:00:00.000Z,1916.05,Debt : Medium to Long Duration,46506
Old Bridge Focused Fund-Reg(G),2025-06-30T00:00:00.000Z,1909.03,Equity : Flexi Cap,48527
JM Liquid Fund(G),2025-06-30T00:00:00.000Z,1908.97,Debt : Liquid,1909
Bank of India Small Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,1907.82,Equity : Small Cap,41323
Edelweiss Gr China Equity Off-Shore Fund-Reg(G),2025-06-30T00:00:00.000Z,1907.5,FoFs : Overseas,7869
Kotak Medium Term Fund(G),2025-06-30T00:00:00.000Z,1900.68,Debt : Medium Duration,22514
SBI Magnum Constant Maturity Fund-Reg(G),2025-06-30T00:00:00.000Z,1899.75,Debt : Gilt (10 Yr Constant Duration),2756
Mirae Asset Balanced Advantage Fund-Reg(G),2025-06-30T00:00:00.000Z,1899.14,Hybrid : Dynamic Asset Allocation,46224
HSBC Large Cap Fund(G),2025-06-30T00:00:00.000Z,1887.73,Equity : Large Cap,1348
Edelweiss Multi Asset Allocation Fund-Reg(G),2025-06-30T00:00:00.000Z,1878.53,Hybrid : Multi Asset Allocation,47994
360 ONE Flexicap Fund-Reg(G),2025-06-30T00:00:00.000Z,1878.29,Equity : Flexi Cap,47567
Kotak Multi Asset Allocator FoF-Dynamic(G),2025-06-30T00:00:00.000Z,1859.89,FoFs : Domestic,1981
DSP Gilt Fund-Reg(G),2025-06-30T00:00:00.000Z,1852.4,Debt : Gilt,693
Nippon India Nifty Midcap 150 Index Fund-Reg(G),2025-06-30T00:00:00.000Z,1851.15,Equity : Index Funds,44503
Tata Focused Fund-Reg(G),2025-06-30T00:00:00.000Z,1847.49,Equity : Multi Cap,44148
Axis Gold ETF,2025-06-30T00:00:00.000Z,1838.61,Gold : ETFs,12461
LIC MF Banking & PSU Fund-Reg(G),2025-06-30T00:00:00.000Z,1837.8,Debt : Banking & PSU,2139
ICICI Pru NASDAQ 100 Index Fund(G),2025-06-30T00:00:00.000Z,1833.24,Equity : International,45683
Sundaram Business Cycle Fund-Reg(G),2025-06-30T00:00:00.000Z,1829.9,Equity : Thematic,35200
Quant Value Fund-Reg(G),2025-06-30T00:00:00.000Z,1829.79,Equity : Value / Contra,46064
ICICI Pru Nifty Alpha Low - Volatility 30 ETF,2025-06-30T00:00:00.000Z,1826.86,Equity : ETFs,45038
Aditya Birla SL Business Cycle Fund-Reg(G),2025-06-30T00:00:00.000Z,1818.66,Equity : Thematic,45733
SBI Nifty Next 50 Index Fund-Reg(G),2025-06-30T00:00:00.000Z,1803.33,Equity : Index Funds,45529
Mahindra Manulife Aggressive Hybrid Fund-Reg(G),2025-06-30T00:00:00.000Z,1797.7,Hybrid : Equity Oriented,43978
Bandhan Midcap Fund-Reg(G),2025-06-30T00:00:00.000Z,1794.49,Equity : Mid Cap,45868
Mirae Asset Small Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,1789.73,Equity : Small Cap,49453
HDFC Pharma and Healthcare Fund-Reg(G),2025-06-30T00:00:00.000Z,1786.18,Equity : Sectoral - Pharma,48220
Tata India Innovation Fund-Reg(G),2025-06-30T00:00:00.000Z,1776.53,Equity : Thematic,49235
WOC Large & Mid Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,1775.78,Equity : Large & Mid Cap,48333
Mirae Asset Ultra Short Duration Fund-Reg(G),2025-06-30T00:00:00.000Z,1766.19,Debt : Ultra Short Duration,45100
HSBC India Export Opportunities Fund-Reg(G),2025-06-30T00:00:00.000Z,1750.84,Equity : Thematic,49091
ICICI Pru Nifty SDL Sep 2027 Index Fund-Reg(G),2025-06-30T00:00:00.000Z,1750.51,Debt : Medium to Long Duration,46528
Bandhan Infrastructure Fund-Reg(G),2025-06-30T00:00:00.000Z,1749.09,Equity : Sectoral - Infrastructure,12459
DSP Nifty Top 10 Equal Weight Index Fund-Reg(G),2025-06-30T00:00:00.000Z,1745.84,Equity : Index Funds,49011
Quant Momentum Fund-Reg(G),2025-06-30T00:00:00.000Z,1740.77,Equity : Thematic,48334
Bandhan Business Cycle Fund-Reg(G),2025-06-30T00:00:00.000Z,1732.35,Equity : Thematic,49014
UTI Quant Fund-Reg(G),2025-06-30T00:00:00.000Z,1727.34,Equity : Thematic,49528
HSBC Focused Fund-Reg(G),2025-06-30T00:00:00.000Z,1720.83,Equity : Multi Cap,44739
SBI Income Plus Arbitrage Active FOF-Reg(G),2025-06-30T00:00:00.000Z,1715.46,FoFs : Domestic,49840
UTI Conservative Hybrid Fund-Reg(G),2025-06-30T00:00:00.000Z,1705.81,Hybrid : Debt Oriented (Conservative),3631
HDFC Retirement Savings Fund-Hybrid-Equity Plan-Reg(G),2025-06-30T00:00:00.000Z,1698.3,Hybrid : Solution Oriented,24805
ICICI Pru MNC Fund(G),2025-06-30T00:00:00.000Z,1692.67,Equity : Thematic - MNC,41965
Kotak Nifty PSU Bank ETF,2025-06-30T00:00:00.000Z,1691.84,Equity : ETFs,3723
LIC MF Low Duration Fund(G),2025-06-30T00:00:00.000Z,1688.82,Debt : Low Duration,2149
Union Small Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,1671.86,Equity : Small Cap,15717
Canara Rob Manufacturing Fund-Reg(G),2025-06-30T00:00:00.000Z,1671.5,Equity : Thematic,48606
WOC Balanced Advantage Fund-Reg(G),2025-06-30T00:00:00.000Z,1654.01,Hybrid : Dynamic Asset Allocation,46990
Baroda BNP Paribas Large & Mid Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,1650.49,Equity : Large & Mid Cap,44222
Aditya Birla SL Conglomerate Fund-Reg(G),2025-06-30T00:00:00.000Z,1647.39,Equity : Thematic,49209
Parag Parikh Arbitrage Fund-Reg(G),2025-06-30T00:00:00.000Z,1645.0,Hybrid : Arbitrage,48215
Baroda BNP Paribas Gilt Fund-Reg(G),2025-06-30T00:00:00.000Z,1644.62,Debt : Gilt,497
LIC MF Multi Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,1644.43,Equity : Multi Cap,46624
Invesco India Low Duration Fund(G),2025-06-30T00:00:00.000Z,1620.86,Debt : Low Duration,2253
SBI Retirement Benefit Fund-Aggressive Hybrid Plan-Reg(G),2025-06-30T00:00:00.000Z,1616.3,Hybrid : Solution Oriented,30399
ICICI Pru Nifty Next 50 ETF,2025-06-30T00:00:00.000Z,1616.25,Equity : ETFs,39950
Bandhan Innovation Fund-Reg(G),2025-06-30T00:00:00.000Z,1610.89,Equity : Thematic,48656
Invesco India Infrastructure Fund(G),2025-06-30T00:00:00.000Z,1607.39,Equity : Sectoral - Infrastructure,2237
Sundaram Fin Serv Opp Fund(G),2025-06-30T00:00:00.000Z,1604.71,Equity : Sectoral - Financial Services,5144
Sundaram Balanced Advantage Fund(G),2025-06-30T00:00:00.000Z,1596.76,Hybrid : Dynamic Asset Allocation,13366
Sundaram Consumption Fund(G),2025-06-30T00:00:00.000Z,1595.84,Equity : Thematic - Consumption,3050
Axis Aggressive Hybrid Fund-Reg(G),2025-06-30T00:00:00.000Z,1594.48,Hybrid : Equity Oriented,40568
HSBC Consumption Fund-Reg(G),2025-06-30T00:00:00.000Z,1593.07,Equity : Thematic - Consumption,48124
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2027 Index Fund-Reg(G),2025-06-30T00:00:00.000Z,1592.12,Debt : Medium to Long Duration,46227
Bandhan Nifty100 Low Volatility 30 Index Fund-Reg(G),2025-06-30T00:00:00.000Z,1583.66,Equity : Index Funds,46607
Mirae Asset Low Duration Fund-Reg Savings Plan(G),2025-06-30T00:00:00.000Z,1565.38,Debt : Low Duration,4609
Motilal Oswal Focused Fund-Reg(G),2025-06-30T00:00:00.000Z,1563.58,Equity : Large Cap,21769
PGIM India Small Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,1560.68,Equity : Small Cap,45616
ICICI Pru Rural Opportunities Fund-Reg(G),2025-06-30T00:00:00.000Z,1559.8,Equity : Thematic,49521
Mahindra Manulife Flexi Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,1559.61,Equity : Flexi Cap,45670
Invesco India Largecap Fund(G),2025-06-30T00:00:00.000Z,1558.24,Equity : Large Cap,7870
HSBC Balanced Advantage Fund-Reg(G),2025-06-30T00:00:00.000Z,1555.13,Hybrid : Dynamic Asset Allocation,13019
Bajaj Finserv Large Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,1552.52,Equity : Large Cap,48965
ICICI Pru ESG Exclusionary Strategy Fund(G),2025-06-30T00:00:00.000Z,1548.66,Equity : Thematic,44087
DSP Strategic Bond Fund-Reg(G),2025-06-30T00:00:00.000Z,1545.37,Debt : Dynamic Bond,742
HDFC NIFTY50 Equal Weight Index Fund-Reg(G),2025-06-30T00:00:00.000Z,1543.77,Equity : Index Funds,45708
ICICI Pru Silver ETF FOF(G),2025-06-30T00:00:00.000Z,1535.91,FoFs : Domestic,46215
Baroda BNP Paribas Money Market Fund-Reg(G),2025-06-30T00:00:00.000Z,1531.71,Debt : Money Market,25167
SBI Nifty Smallcap 250 Index Fund-Reg(G),2025-06-30T00:00:00.000Z,1525.96,Equity : Index Funds,46937
Aditya Birla SL Dividend Yield Fund(G),2025-06-30T00:00:00.000Z,1523.63,Equity : Thematic - Dividend Yield,301
Union Midcap Fund-Reg(G),2025-06-30T00:00:00.000Z,1519.88,Equity : Mid Cap,44313
Sundaram Diversified Equity(G),2025-06-30T00:00:00.000Z,1519.21,Equity : Tax Saving (ELSS),3072
Aditya Birla SL Transportation and Logistics Fund-Reg(G),2025-06-30T00:00:00.000Z,1511.16,Equity : Sectoral - Auto,48291
Mirae Asset Equity Savings Fund-Reg(G),2025-06-30T00:00:00.000Z,1507.32,Hybrid : Equity Oriented,39401
Canara Rob Balanced Advantage Fund-Reg(G),2025-06-30T00:00:00.000Z,1506.98,Hybrid : Dynamic Asset Allocation,48747
LIC MF Large Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,1505.32,Equity : Large Cap,2127
ICICI Pru Nifty 100 Low Volatility 30 ETF FOF(G),2025-06-30T00:00:00.000Z,1499.93,Equity : ETFs,45443
Quant Liquid Plan(G),2025-06-30T00:00:00.000Z,1496.34,Debt : Liquid,883
Axis Multi Asset Allocation Fund-Reg(G),2025-06-30T00:00:00.000Z,1483.7,Hybrid : Multi Asset Allocation,8583
Baroda BNP Paribas India Consumption Fund-Reg(G),2025-06-30T00:00:00.000Z,1476.91,Equity : Thematic - Consumption,17168
Bandhan Bond Fund - Medium Term Plan-Reg(G),2025-06-30T00:00:00.000Z,1475.77,Debt : Medium Duration,1084
PGIM India Global Equity Opp FoF(G),2025-06-30T00:00:00.000Z,1474.9,FoFs : Overseas,8812
HDFC Technology Fund-Reg(G),2025-06-30T00:00:00.000Z,1469.67,Equity : Sectoral - Technology,48189
Invesco India Financial Services Fund(G),2025-06-30T00:00:00.000Z,1455.76,Equity : Sectoral - Financial Services,5348
LIC MF Money Market Fund-Reg(G),2025-06-30T00:00:00.000Z,1451.48,Debt : Money Market,46587
JM Midcap Fund-Reg(G),2025-06-30T00:00:00.000Z,1443.94,Equity : Mid Cap,47089
Invesco India PSU Equity Fund(G),2025-06-30T00:00:00.000Z,1438.55,Equity : Thematic,7996
Bank of India ELSS Tax Saver-Reg(G),2025-06-30T00:00:00.000Z,1432.23,Equity : Tax Saving (ELSS),7516
Nippon India Nifty Alpha Low Volatility 30 Index Fund(G),2025-06-30T00:00:00.000Z,1431.98,Equity : Index Funds,46717
ICICI Pru Exports & Services Fund(G),2025-06-30T00:00:00.000Z,1429.17,Equity : Thematic,1680
ICICI Pru Childrens Fund(G),2025-06-30T00:00:00.000Z,1424.31,Hybrid : Solution Oriented,1489
UTI Floater Fund-Reg(G),2025-06-30T00:00:00.000Z,1410.06,Debt : Floater,39630
Sundaram Money Market Fund-Reg(G),2025-06-30T00:00:00.000Z,1396.44,Debt : Money Market,39625
Union Balanced Advantage Fund-Reg(G),2025-06-30T00:00:00.000Z,1395.31,Hybrid : Dynamic Asset Allocation,38378
Kotak Silver ETF,2025-06-30T00:00:00.000Z,1394.7,Gold : ETFs,46627
Sundaram ELSS Tax Saver Fund-Reg(G),2025-06-30T00:00:00.000Z,1394.52,Equity : Tax Saving (ELSS),2433
HDFC Transportation and Logistics Fund-Reg(G),2025-06-30T00:00:00.000Z,1394.51,Equity : Sectoral - Auto,48114
Aditya Birla SL Regular Savings Fund(G),2025-06-30T00:00:00.000Z,1391.32,Hybrid : Debt Oriented (Conservative),422
Axis Momentum Fund-Reg(G),2025-06-30T00:00:00.000Z,1385.6,Equity : Thematic,49376
DSP Overnight Fund-Reg(G),2025-06-30T00:00:00.000Z,1376.97,Debt : Overnight,41945
HDFC Housing Opp Fund-Reg(G),2025-06-30T00:00:00.000Z,1361.41,Equity : Sectoral - Infrastructure,38242
UTI Banking and Financial Services Fund-Reg(G),2025-06-30T00:00:00.000Z,1355.6,Equity : Sectoral - Financial Services,3439
DSP Banking & Financial Services Fund-Reg(G),2025-06-30T00:00:00.000Z,1353.88,Equity : Sectoral - Financial Services,48350
Kotak Nifty 1D Rate Liquid ETF,2025-06-30T00:00:00.000Z,1348.47,Debt : Liquid,47545
Canara Rob Savings Fund-Reg(G),2025-06-30T00:00:00.000Z,1342.26,Debt : Low Duration,535
Quant Business Cycle Fund-Reg(G),2025-06-30T00:00:00.000Z,1338.82,Equity : Thematic,47951
Bajaj Finserv Balanced Advantage Fund-Reg(G),2025-06-30T00:00:00.000Z,1338.0,Hybrid : Dynamic Asset Allocation,48062
Kotak Consumption Fund-Reg(G),2025-06-30T00:00:00.000Z,1334.3,Equity : Thematic - Consumption,47948
Baroda BNP Paribas Value Fund-Reg(G),2025-06-30T00:00:00.000Z,1332.16,Equity : Value / Contra,47940
ICICI Pru Retirement Fund-Pure Equity Plan(G),2025-06-30T00:00:00.000Z,1325.55,Hybrid : Solution Oriented,25667
HDFC Developed World Equity Passive FOF-Reg(G),2025-06-30T00:00:00.000Z,1325.55,FoFs : Overseas,45884
Franklin India Dynamic Asset Allocation Active FOFs(G),2025-06-30T00:00:00.000Z,1324.89,FoFs : Domestic,1001
